user,nb_emails,nb_emails_sent,nb_emails_viewed,nb_external,nb_bcc,nb_external_with_attachment,nb_after_hours_or_weekend,nb_emails_has_suspicious_content,email_external_ratio,suspicious_content_ratio,bcc_email_ratio,external_email_with_attachment_ratio,after_hours_or_weekend_ratio,max_zscore_emails,max_zscore_emails_sent,avg_emails_per_week,avg_size_sent_email,nb_emails_last_month,nb_activity_email_after_leaving,nb_file_events,copy_ratio,write_ratio,delete_ratio,copy_to_removable_ratio,write_to_removable_ratio,from_removable_ratio,unique_files_ratio,events_per_file,pc_usage_ratio,file_off_hours_ratio,suspicious_file_content_ratio,open_then_copy_ratio,write_then_delete_ratio,copy_then_delete_ratio,max_zscore_file_activity,nb_file_last_month,nb_file_after_leaving,average_session_duration,session_duration_variability,nb_sessions,nb_short_sessions,ratio_short_sessions,used_multi_pc_simultaneously,nb_logon,nb_logoff,nb_pc_used,nb_pc_used_logon,nb_after_hours_logon,unclosed_session_ratio,after_hours_logon_ratio,max_zscore_logon,max_zscore_logon_after_hours,nb_logon_last_month,nb_logon_after_leaving,nb_access_decoy_file,nb_pc_decoy_file,ocean_risk_score,device_con_duration_avg,device_con_duration_std,ratio_short_device_conn_interval,nb_device_conn_last_month,avg_device_conn_per_week,max_zscore_device_week,avg_zscore_device_week,nb_device_conn_after_hours,ratio_device_conn_after_hours,nb_device_activity_after_leaving
AAC0610,1052,388,664,382,0,139,0,93,0.36311787072243346,0.08840304182509506,0.0,0.13212927756653992,0.0,0.0,2.6615846279708273,14.216216216216216,827339.219072165,0,0,1851,0.44570502431118314,0.12695840086439764,0.2182603997839006,0.44727272727272727,1.0,0.5705024311183144,0.3462992976769314,2.8876755070202806,0.0005402485143165856,0.0032414910858995136,0.036736898973527825,0.07878787878787878,0.251063829787234,0.2084848484848485,2.022972370604471,0,0,9.1,0,2,0,0.0,0,665,387,1,1,28,0.4180451127819549,0.042105263157894736,2.0201702619289468,3.0,0,0.0,191,1,0.0,7.288639747995418,8.724061003551826,0.02577319587628866,20.0,4.808219178082192,3.1896634773091517,-7.300096600275002e-17,2.0,0.005698005698005698,0
AAF0819,3127,1088,2039,1001,0,335,0,145,0.32011512631915573,0.0463703229932843,0.0,0.10713143588103613,0.0,0.0,2.184027913041592,42.25675675675676,828717.9981617647,0,0,3409,0.4341449105309475,0.11440305074801994,0.22821941918451158,0.43648648648648647,1.0,0.5875623349955998,0.32472865943091817,3.079494128274616,0.0002933411557641537,0.0,0.040187738339689055,0.08378378378378379,0.20256410256410257,0.22027027027027027,1.8887358195689785,0,0,10.333333333333334,0,1,0,0.0,1,665,387,32,32,0,0.4180451127819549,0.0,1.773060613155779,0.0,0,0.0,370,1,2.2168421052631584,8.124154189650644,9.083294249224526,0.07801418439716312,57.0,13.945945945945946,1.7261922406110568,1.200241107702872e-16,0.0,0.0,0
AAP0352,3135,1116,2019,909,569,277,0,186,0.28995215311004785,0.05933014354066986,0.18149920255183413,0.08835725677830941,0.0,0.0,2.315337758311239,42.36486486486486,593129.1890681004,0,0,699,0.40772532188841204,0.11301859799713877,0.2246065808297568,0.49122807017543857,1.0,0.5336194563662375,0.49928469241773965,2.002865329512894,0.001430615164520744,0.0,0.02861230329041488,0.03859649122807018,0.20253164556962025,0.13333333333333333,3.0220442690052245,0,0,8.507079280872384,1,377,0,0.0,1,377,377,22,22,0,0.0,0.0,2.0,0.0,0,0.0,107,1,0.07361225328947375,8.19361111111111,8.974862440683525,0.03821656050955414,47.0,9.635135135135135,2.474060029061635,0.0,0.0,0.0,0
AAP1919,3487,1211,2276,1325,0,242,0,198,0.37998279323200457,0.056782334384858045,0.0,0.0694006309148265,0.0,0.0,1.6781788789926315,47.12162162162162,208730.85301403797,0,0,439,0.44874715261959,0.12300683371298406,0.19817767653758542,0.45685279187817257,1.0,0.5580865603644647,0.621867881548975,1.6080586080586081,0.002277904328018223,0.0,0.05239179954441914,0.03553299492385787,0.1111111111111111,0.1218274111675127,3.1862930471250013,0,0,7.196363747853814,2,453,0,0.0,1,453,453,89,89,0,0.0,0.0,2.3808434492644746,0.0,0,0.0,50,1,3.3572368421052627,5.464008212560387,7.790489975509359,0.11130434782608696,183.0,41.74324324324324,0.6060366957089333,2.2804581046354566e-16,0.0,0.0,0
ABD3426,6815,2429,4386,2760,1110,764,1485,375,0.40498899486427,0.055025678650036686,0.16287600880410857,0.11210564930300806,0.21790168745414526,0.8769837418553332,2.174120166624213,90.86666666666666,498761.5327295183,0,0,11434,0.45111072240685673,0.1177190834353682,0.22503061046003148,0.5021326095385809,1.0,0.5660311352107749,0.22135735525625327,4.517581983405768,8.745845723281441e-05,0.22852894874934407,0.052649991254154274,0.09034509499806126,0.2637444279346211,0.22625048468398604,1.1603482127332212,0,0,9.183333333333334,0,1,0,0.0,1,942,569,32,32,63,0.39596602972399153,0.06687898089171974,1.249648234128394,2.0,0,0.0,1026,1,0.08526315789473678,12.876669015287385,9.566897218572132,0.04765564950038432,226.0,53.333333333333336,0.9893427268506824,-2.486899575160351e-16,38.0,0.0095,0
ABH0349,344,133,211,115,73,24,0,31,0.33430232558139533,0.09011627906976744,0.21220930232558138,0.06976744186046512,0.0,0.0,2.797356826518927,4.648648648648648,324355.2030075188,0,0,2230,0.4094170403587444,0.1304932735426009,0.2304932735426009,0.32858707557502737,1.0,0.6260089686098654,0.2766816143497758,3.614262560777958,0.0004484304932735426,0.0,0.04170403587443946,0.09857612267250822,0.29896907216494845,0.25410733844468786,2.656252541795209,0,0,9.216666666666667,0,1,0,0.0,1,692,414,57,57,0,0.40173410404624277,0.0,0.628397199974405,0.0,0,0.0,243,1,1.000421052631579,1.8023102981029808,3.9402130109948046,0.07317073170731707,10.0,2.2142857142857144,3.0026346196627065,-9.912705577010327e-17,0.0,0.0,0
ABK3081,3724,1302,2422,1533,640,479,520,718,0.4116541353383459,0.19280343716433943,0.17185821697099893,0.128625134264232,0.13963480128893663,1.1803074652448327,1.9157024174832316,49.653333333333336,608196.6866359446,0,0,671,0.4336810730253353,0.10581222056631892,0.22205663189269748,0.43986254295532645,1.0,0.5931445603576752,0.37853949329359166,2.641732283464567,0.0014903129657228018,0.11922503725782414,0.022354694485842028,0.09278350515463918,0.16901408450704225,0.20618556701030927,2.7900707083833534,0,0,16.652569444444445,7,4,0,0.0,1,883,551,52,52,67,0.37599093997734995,0.07587768969422423,1.5432404043645476,3.0,0,0.0,74,1,0.2579210526315789,1.9954689366786142,4.9257840595189135,0.08602150537634409,8.0,2.640625,2.4266843623153136,-1.8214596497756474e-17,3.0,0.01775147928994083,0
ABM3687,212,83,129,67,41,34,36,18,0.3160377358490566,0.08490566037735849,0.19339622641509435,0.16037735849056603,0.16981132075471697,0.7529511829268666,2.322964064919713,5.578947368421052,1162187.1445783132,9,9,4925,0.4450761421319797,0.11614213197969543,0.22923857868020306,0.47125912408759124,1.0,0.5821319796954315,0.18213197969543146,5.490523968784839,0.0002030456852791878,0.166497461928934,0.020710659898477157,0.09397810218978102,0.291958041958042,0.2490875912408759,1.0651075028952803,221,221,4.942222222222222,2,2,0,0.0,1,464,294,74,74,0,0.36637931034482757,0.0,2.0154766747385335,0.0,37,37.0,453,1,0.3078947368421052,6.67531180753403,8.353058812367397,0.09401709401709402,0.0,11.605263157894736,1.4868646869129858,1.5192525600133721e-16,0.0,0.0,31
ABM3772,5525,1915,3610,2080,925,720,0,505,0.3764705882352941,0.09140271493212669,0.167420814479638,0.13031674208144797,0.0,0.0,1.6794126089488715,74.66216216216216,690371.9091383812,0,0,1114,0.40843806104129265,0.10861759425493717,0.21543985637342908,0.4747252747252747,1.0,0.5421903052064632,0.42100538599640935,2.375266524520256,0.0008976660682226212,0.00718132854578097,0.05026929982046679,0.05934065934065934,0.1322314049586777,0.15164835164835164,2.910974674456686,0,0,13.751805555555556,5,4,0,0.0,0,703,426,1,1,66,0.3940256045519203,0.09388335704125178,1.3929103831719298,2.0,0,0.0,173,1,2.0734046052631574,5.719267195767196,7.637932261382148,0.06349206349206349,47.0,9.662162162162161,1.7945175325224507,3.240650990797754e-16,2.0,0.002797202797202797,0
ABO1173,3141,1079,2062,1100,794,301,0,187,0.3502069404648201,0.05953517987901942,0.2527857370264247,0.09582935370900987,0.0,0.0,2.381136268325195,42.445945945945944,659700.5708989805,0,0,1395,0.26021505376344084,0.10896057347670252,0.16344086021505377,0.30578512396694213,1.0,0.43799283154121865,0.34121863799283153,2.930672268907563,0.0007168458781362007,0.005017921146953405,0.02867383512544803,0.07162534435261708,0.19078947368421054,0.1763085399449036,2.315356392357446,0,0,11.233333333333333,0,1,0,0.0,0,712,434,1,1,77,0.3904494382022472,0.10814606741573034,1.8824415013037996,3.0,0,0.0,521,1,1.6999342105263158,2.6431804198335143,5.748039174381976,0.13029315960912052,23.0,5.424657534246576,2.02777282870268,-2.1900289800825005e-16,2.0,0.005050505050505051,0
ABP2917,1219,420,799,490,0,181,174,87,0.40196882690730107,0.07136997538966366,0.0,0.14848236259228875,0.14273995077932733,1.2164105997670551,2.7127690690693615,16.253333333333334,966621.5595238095,0,0,2160,0.4689814814814815,0.11157407407407408,0.22175925925925927,0.4856860809476802,1.0,0.5703703703703704,0.3175925925925926,3.1486880466472305,0.000462962962962963,0.1587962962962963,0.05416666666666667,0.06811451135241856,0.2157676348547718,0.20236920039486672,2.006101206121245,0,0,9.383333333333333,0,1,0,0.0,0,745,423,1,1,0,0.43221476510067114,0.0,1.9275583445250404,0.0,0,0.0,195,1,0.7633223684210524,4.100724177256436,7.476729494877755,0.13196480938416422,29.0,6.54054054054054,2.188276753621332,5.701145261588641e-17,0.0,0.0,0
