user,email_nb_emails,email_nb_emails_sent,email_nb_emails_viewed,email_nb_external,email_nb_bcc,email_nb_external_with_attachment,email_nb_after_hours_or_weekend,email_nb_emails_has_suspicious_content,email_external_ratio,email_suspicious_content_ratio,email_bcc_email_ratio,email_external_email_with_attachment_ratio,email_after_hours_or_weekend_ratio,email_max_zscore_emails,email_max_zscore_emails_sent,email_avg_emails_per_week,email_avg_size_sent_email,email_nb_emails_last_month,email_nb_activity_email_after_leaving,email_nb_email_not_main_pc,email_nb_email_not_main_pc_ratio,email_zscore_last_month,file_nb_file_events,file_copy_ratio,file_write_ratio,file_delete_ratio,file_copy_to_removable_ratio,file_from_removable_ratio,file_unique_files_ratio,file_events_per_file,file_pc_usage_ratio,file_off_hours_ratio,file_suspicious_file_content_ratio,file_open_then_copy_ratio,file_write_then_delete_ratio,file_copy_then_delete_ratio,file_max_zscore_file_activity,file_nb_file_last_month,file_nb_file_after_leaving,file_nb_file_not_main_pc,file_nb_file_not_main_pc_ratio,file_zscore_last_month,logon_average_session_duration,logon_session_duration_variability,logon_nb_sessions,logon_nb_short_sessions,logon_ratio_short_sessions,logon_used_multi_pc_simultaneously,logon_nb_logon,logon_nb_logoff,logon_nb_pc_used,logon_nb_pc_used_logon,logon_nb_after_hours_logon,logon_unclosed_session_ratio,logon_after_hours_logon_ratio,logon_max_zscore_logon,logon_max_zscore_logon_after_hours,logon_nb_logon_last_month,logon_nb_logon_after_leaving,logon_nb_logon_not_main_pc,logon_nb_logon_not_main_pc_ratio,logon_zscore_last_month,decoy_file_nb_access_decoy_file,decoy_file_nb_pc_decoy_file,psycho_ocean_risk_score,device_nb_device_conn,device_con_duration_avg,device_con_duration_std,device_ratio_short_device_conn_interval,device_nb_device_conn_last_month,device_avg_device_conn_per_week,device_max_zscore_device_week,device_avg_zscore_device_week,device_nb_device_conn_after_hours,device_ratio_device_conn_after_hours,device_nb_device_activity_after_leaving,device_nb_device_not_main_pc,device_nb_device_not_main_pc_ratio,device_zscore_last_month,ldap_zscore_departure,http_total_activity,http_total_weighted_activity,http_job_weighted_activity,http_avg_requests_per_day,http_total_keyword_flags,http_upload_ratio,http_download_ratio,http_off_hours_ratio,http_weekend_activity_ratio,http_last_month_activity,http_last_month_zscore,http_max_zscore_activity,http_post_departure_activity,http_sus_domain_ratio,http_unique_domains,http_job_search_score
AAB0162,3146,1122,2024,967,0,161,0,47,0.3073744437380801,0.014939605848696759,0.0,0.051176096630642084,0.0,0.0,1.8439130711240699,42.513513513513516,199434.88680926917,0,0,0,0.0,-0.8719309365044069,30.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,3.75,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.8227533512074423,11.061420982735724,0,251,0,0.0,0,355,356,1,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.2340822943922611,30.0,1.0,0.06293739720394738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.818118685772619,33725,33725.0,2356.0,95.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0318,126,0.0699
AAB0398,3811,1348,2463,1462,0,450,215,14,0.38362634479139335,0.0036735764891104696,0.0,0.11807924429283653,0.056415638939910785,0.0,2.3146573722995285,51.5,356879.09940652817,0,0,0,0.0,-0.09517516949932045,36.0,0.0,0.0,0.0,0.0,0.0,0.19444444444444445,5.142857142857143,0.027777777777777776,0.027777777777777776,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6911514224205221,9.092883895131086,0,356,0,0.0,0,356,356,1,1,356,0.0,1.0,0.0,0.0,0,0.0,0,0.0,0.0,36.0,1.0,0.01328684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40584,40584.0,540.0,114.0,0,0.0,0.0,0.0474,0.0,0,0.0,0.0,0,0.0308,248,0.0133
AAC0610,1052,388,664,382,0,139,0,10,0.36311787072243346,0.009505703422053232,0.0,0.13212927756653992,0.0,0.0,2.6615846279708273,14.216216216216216,827339.219072165,0,0,0,0.0,0.31576760687854194,1851.0,0.44570502431118314,0.12695840086439764,0.2182603997839006,0.44727272727272727,0.5705024311183144,0.3462992976769314,2.8876755070202806,0.0005402485143165856,0.0032414910858995136,0.0005402485143165856,0.07878787878787878,0.251063829787234,0.2084848484848485,2.022972370604471,0.0,0.0,0.0,0.0,0.535113644181597,9.1,0,2,0,0.0,0,665,387,1,1,28,0.4180451127819549,0.042105263157894736,2.0201702619289468,3.0,0,0.0,0,0.0,1.119963964273671,191.0,1.0,0.0,351.0,7.288639747995418,8.724061003551826,0.02577319587628866,20.0,4.808219178082192,3.1896634773091517,-7.300096600275002e-17,2.0,0.005698005698005698,0.0,0.0,0.0,-0.3230291412348993,1.8181186857726193,10324,10324.0,195.0,29.0,0,0.0,0.0,0.0096,0.0,0,0.0,0.0,0,0.1031,200,0.0189
AAC0668,3115,1093,2022,1092,0,219,0,24,0.350561797752809,0.0077046548956661316,0.0,0.07030497592295346,0.0,0.0,2.1453500238832137,42.0945945945946,406817.71180237876,0,0,0,0.0,0.439912964497952,62.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,7.75,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,3.7751154957150677,0.0,0.0,0.0,0.0,0.0,9.080852059925094,0,356,0,0.0,0,356,356,1,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,62.0,1.0,0.0022450657894736866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9977072280098476,33820,33820.0,1855.0,95.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0342,175,0.0548
AAC3270,344,120,224,89,0,48,0,0,0.25872093023255816,0.0,0.0,0.13953488372093023,0.0,0.0,2.951762731963132,4.648648648648648,1333953.3583333334,0,0,0,0.0,0.9019752336033946,8.0,0.0,0.0,0.0,0.0,0.0,0.25,4.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.080290262172285,0,356,0,0.0,0,356,356,1,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,8.0,1.0,0.0015394736842105259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2422333806630874,3560,3560.0,16.0,10.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,55,0.0045
AAD2188,346,120,226,112,0,32,0,9,0.3236994219653179,0.02601156069364162,0.0,0.09248554913294797,0.0,0.0,3.7421769772206024,4.675675675675675,306651.2166666667,0,0,0,0.0,0.9274777915203365,7.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,1.75,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.04133895131086,0,356,0,0.0,0,356,356,1,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,7.0,1.0,0.021167763157894735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8054180384339102,3560,3560.0,157.0,10.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0694,134,0.0441
AAD3030,4788,1642,3146,1382,0,357,0,33,0.28863826232247286,0.006892230576441102,0.0,0.07456140350877193,0.0,0.0,2.205059234719753,64.70270270270271,837182.31181486,0,0,0,0.0,0.4684184733815271,211.0,0.0,0.0,0.0,0.0,0.0,0.08530805687203792,11.722222222222221,0.004739336492890996,0.0,0.0,0.0,0.0,0.0,3.5699830941104733,0.0,0.0,0.0,0.0,-0.7127385474807089,8.06629213483146,0,356,0,0.0,0,356,356,1,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,211.0,1.0,0.07192968749999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.173067468400883,50765,50765.0,60.0,143.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.008,146,0.0012
AAF0819,3127,1088,2039,1001,0,335,0,30,0.32011512631915573,0.009593859929645027,0.0,0.10713143588103613,0.0,0.0,2.184027913041592,42.25675675675676,828717.9981617647,0,0,0,0.0,-1.8715306490217225,3409.0,0.4341449105309475,0.11440305074801994,0.22821941918451158,0.43648648648648647,0.5875623349955998,0.32472865943091817,3.079494128274616,0.0002933411557641537,0.0,0.018480492813141684,0.08378378378378379,0.20256410256410257,0.22027027027027027,1.8887358195689785,0.0,0.0,0.0,0.0,-2.486663925606434,10.333333333333334,0,1,0,0.0,1,665,387,32,32,0,0.4180451127819549,0.0,1.773060613155779,0.0,0,0.0,31,0.04661654135338346,0.22883934300090095,370.0,1.0,0.03694736842105264,1032.0,8.124154189650644,9.083294249224526,0.07801418439716312,57.0,13.945945945945946,1.7261922406110568,1.200241107702872e-16,0.0,0.0,0.0,0.0,0.0,-0.2730200519262005,1.818118685772619,33725,33725.0,4494.0,95.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0723,157,0.1333
AAF3937,344,124,220,104,0,37,0,2,0.3023255813953488,0.005813953488372093,0.0,0.10755813953488372,0.0,0.0,2.0,4.648648648648648,721607.8467741936,0,0,0,0.0,0.680020400918046,10.0,0.0,0.0,0.0,0.0,0.0,0.7,1.4285714285714286,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.083426966292134,0,356,0,0.0,0,356,356,1,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,10.0,1.0,0.02378727384868421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8054180384339107,3560,3560.0,4.0,10.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0298,113,0.0011
AAG1447,3121,1060,2061,1179,0,95,0,22,0.37776353732777956,0.007049022749118872,0.0,0.03043896187119513,0.0,0.0,2.369483238807695,42.17567567567568,29996.998113207548,0,0,0,0.0,-0.3287650668415673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.080617977528089,0,356,0,0.0,0,356,356,1,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.07508449835526315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5633594912943507,33820,33820.0,1113.0,95.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.109,265,0.0329
